participant,session,completion,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,20.92592593,4.0255,2.0136,0,0,0,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,-40,3.5053,2.0001,0,1,1,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,29.44444444,3.2214,2.0161,0,2,2,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.11111111,6.0801,0,0,0,0,1,rest (looking at a fixed cross),001.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.25925926,3.0812,0,1,1,1,1,stand up,002.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.40740741,1.43,0,2,2,2,1,stretch,003.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.25925926,1.4926,0,3,3,3,1,make a drink,004.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.77777778,1.529,0,4,4,4,1,scroll social media,005.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1.3871,0,5,5,5,1,listen to music,006.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.40740741,1.5394,0,6,6,6,1,daydream,007.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.22222222,1.5087,0,7,7,7,1,watch a short animation,008.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.33333333,1.5767,0,8,8,8,1,read a novel,009.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,1.5456,0,9,9,9,1,read the news,010.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,listen to music,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,-12.22222222,4.623,2.0049,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,79.25925926,3.0958,2.016,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,62.59259259,3.0848,2.0163,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF06491,ABCDB07B-5CB8-4AF3-9861-DAF04031560B,NA,2023-10-30_15h59.43.167,VExplicitOC_RO,2022.2.5,Win32,60.14314067,-100,3.0985,2.0051,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,NA,NA,NA,NA,NA
