participant,session,completion,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,-37.23958333,6.9317,2.0143,0,0,0,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,-11.71875,4.4496,2.0067,0,1,1,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,-41.14583333,4.0651,2.0033,0,2,2,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDPRF98849,74E4003D-C21B-4C3F-B23E-2D723F2AEDFB,NA,2023-10-30_16h07.48.157,VExplicitOC_RO,2022.2.5,Win32,60.10337781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
