"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation..at.the.rate.of..8.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1707929118565,"14/02/2024 16:45:18",1707929118565,0,"14/02/2024 16:45:18",163173,5,"questionnaire-1tsk",NA,35147312,10387172,NA,"complete",NA,"65ccedc52a3ceca2b3cf12bd","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent",11,"In","ABLCKDJEIFHG",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF13138"
"1",1707929409081,"14/02/2024 16:50:09",1707929409081,0,"14/02/2024 16:50:09",163173,5,"questionnaire-1tsk",NA,35147767,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"Consent",11,"In","BCADLEKFJGIH",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF63569"
"1",1707929779266,"14/02/2024 16:56:19",1707929779266,0,"14/02/2024 16:56:19",163173,5,"questionnaire-1tsk",NA,35148290,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Consent",11,"In","CDBEAFLGKHJI",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF73191"
"1",1707929838153,"14/02/2024 16:57:18",1707929838153,0,"14/02/2024 16:57:18",163173,5,"questionnaire-1tsk",NA,35148377,10387342,NA,"complete",NA,"65ccf0d7a3af9ad5691c1ee2","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1200x720",NA,NA,0,"Consent",11,"In","DECFBGAHLIKJ",NA,"In",2,"1","1","1","1","1","1","1","1","1","1","MDPRF12765"
"1",1707929953077,"14/02/2024 16:59:13",1707929953077,0,"14/02/2024 16:59:13",163173,5,"questionnaire-1tsk",NA,35148535,10387373,NA,"complete",NA,"65ccf14d7ceb9cd7d4dfa1ae","computer","Desktop or Laptop","Chromium OS 14816.131.0","Chrome 103.0.0.0","1536x864","1536x714",NA,NA,0,"Consent",11,"In","EFDGCHBIAJLK",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF79833"
"1",1707930083675,"14/02/2024 17:01:23",1707930083675,0,"14/02/2024 17:01:23",163173,5,"questionnaire-1tsk",NA,35148733,10387405,NA,"complete",NA,"65ccf1d0bc4382242747e329","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Consent",11,"In","GHFIEJDKCLBA",NA,"In",1,"1","1","1","1","1","1","1","1","1","1","MDPRF47263"
"1",1707930150151,"14/02/2024 17:02:30",1707930150151,0,"14/02/2024 17:02:30",163173,5,"questionnaire-1tsk",NA,35148832,10387416,NA,"complete",NA,"65ccf21a22345f20629be59e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1470x956","1470x765",NA,NA,0,"Consent",11,"In","FGEHDICJBKAL",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF99152"
"1",1707930399333,"14/02/2024 17:06:39",1707930399333,0,"14/02/2024 17:06:39",163173,5,"questionnaire-1tsk",NA,35149182,10387466,NA,"complete",NA,"65ccf2f9b0efb42d0625139b","computer","Desktop or Laptop","Windows 10","Opera 106.0.0.0","1920x1080","1879x970",NA,NA,0,"Consent",11,"In","HIGJFKELDACB",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF09500"
"1",1707930466821,"14/02/2024 17:07:46",1707930466821,0,"14/02/2024 17:07:46",163173,5,"questionnaire-1tsk",NA,35149265,10387477,NA,"complete",NA,"65ccf353b2a96acb3c9be840","computer","Desktop or Laptop","Windows 10","Edge 121.0.0.0","1280x720","1272x598",NA,NA,0,"Consent",11,"In","IJHKGLFAEBDC",NA,"In",3,"1","1","1","1","1","1","1","1","1","1","MDPRF36184"
"1",1707930519449,"14/02/2024 17:08:39",1707930519449,0,"14/02/2024 17:08:39",163173,5,"questionnaire-1tsk",NA,35149328,10387491,NA,"complete",NA,"65ccf38b7c8fa41cb1d4ae4d","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x585",NA,NA,0,"Consent",11,"In","LAKBJCIDHEGF",NA,"In",4,"1","1","1","1","1","1","1","1","1","1","MDPRF23119"
