"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand_M","Spreadsheet..Answer","Spreadsheet..C_points","Spreadsheet..L_points","Spreadsheet..W_points","Spreadsheet..rand_G","Manipulation..Spreadsheet","Store..Choice","Store..total","Store..total_score","Store..pounds","Store..total_money","Store..partA","Store..MoneyReward","Store..pointsPR","Random_ID"
"1",1727179781513,"24/09/2024 12:09:41",1727183381513,1,"24/09/2024 14:09:41",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",NA,"","","",NA,"info","START SUBSYSTEM base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"2",1727179781515,"24/09/2024 12:09:41",1727183381515,1,"24/09/2024 14:09:41",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",NA,"","","",NA,"info","SUBSYSTEM READY base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"3",1727179781540,"24/09/2024 12:09:41",1727183381540,1,"24/09/2024 14:09:41",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"4",1727179784394,"24/09/2024 12:09:44",1727183384394,1,"24/09/2024 14:09:44",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Intro","Screen 1","u1aumm",1,"continue","",2894.99999999851,2882.8,2894.99999999851,2894.99999999851,2882.8,2894.99999999851,1,2894.99999999851,0,0,NA,"Click To Continue","Continue Button",2,"object-37171","Intro","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"5",1727179790664,"24/09/2024 12:09:50",1727183390664,1,"24/09/2024 14:09:50",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 1","rfymdc",1,"continue","",6282.69999999851,6267.5,6282.69999999851,6282.69999999851,6267.5,6282.69999999851,1,6282.69999999851,0,0,NA,"Click To Continue","Continue Button",2,"object-3","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"6",1727179800035,"24/09/2024 12:10:00",1727183400035,1,"24/09/2024 14:10:00",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 2","x2kpu8",2,"continue","",9385.49999999925,9382.4,9385.49999999925,9385.49999999925,9382.4,9385.49999999925,1,9385.49999999925,0,0,NA,"Click To Continue","Continue Button",2,"object-22021","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"7",1727179803461,"24/09/2024 12:10:03",1727183403461,1,"24/09/2024 14:10:03",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 3","o6zm7t",3,"continue","",3428.9,3416.5,3428.9,3428.9,3416.5,3428.9,1,3428.9,0,0,NA,"Click To Continue","Continue Button",2,"object-225","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"8",1727179805290,"24/09/2024 12:10:05",1727183405290,1,"24/09/2024 14:10:05",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 4","3hq7c2",4,"continue","",1841.99999999777,1834,1841.99999999777,1841.99999999777,1834,1841.99999999777,1,1841.99999999777,0,0,NA,"Click To Continue","Continue Button",4,"object-380","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"9",1727179807621,"24/09/2024 12:10:07",1727183407621,1,"24/09/2024 14:10:07",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 5","5jisqh",5,"continue","",2338.69999999702,2332.6,2338.69999999702,2338.69999999702,2332.6,2338.69999999702,1,2338.69999999702,0,0,NA,"Click To Continue","Continue Button",2,"object-233","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
"10",1727179808530,"24/09/2024 12:10:08",1727183408530,1,"24/09/2024 14:10:08",187387,9,"task-nkoa",NA,40225832,11744067,NA,"complete",NA,"66f2a50985781d46121ce43d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",12,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","Gamble_Rand_Seq5","Gamble_Rand_Seq5",1,"Instructions","Screen 6","13xe5l",6,"continue","",915.099999997019,900.799999999999,915.099999997019,915.099999997019,900.799999999999,915.099999997019,1,915.099999997019,0,0,NA,"Click To Continue","Continue Button",2,"object-237","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF01388"
