"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand_M","Spreadsheet..Answer","Spreadsheet..C_points","Spreadsheet..L_points","Spreadsheet..W_points","Spreadsheet..rand_G","Manipulation..Spreadsheet","Store..Choice","Store..total","Store..total_score","Store..pounds","Store..total_money","Store..partA","Store..MoneyReward","Store..pointsPR","Random_ID"
"1",1730468807093,"01/11/2024 13:46:47",1730468807093,0,"01/11/2024 13:46:47",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",NA,"","","",NA,"info","START SUBSYSTEM base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"2",1730468807119,"01/11/2024 13:46:47",1730468807119,0,"01/11/2024 13:46:47",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",NA,"","","",NA,"info","SUBSYSTEM READY base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"3",1730468807185,"01/11/2024 13:46:47",1730468807185,0,"01/11/2024 13:46:47",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"4",1730468817878,"01/11/2024 13:46:57",1730468817878,0,"01/11/2024 13:46:57",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Intro","Screen 1","u1aumm",1,"continue","",10804.5,10794.6,10804.5,10804.5,10794.6,10804.5,1,10804.5,0,0,NA,"Click To Continue","Continue Button",2,"object-37171","Intro","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"5",1730468838379,"01/11/2024 13:47:18",1730468838379,0,"01/11/2024 13:47:18",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 1","rfymdc",1,"continue","",20508.6,20492,20508.6,20508.6,20492,20508.6,1,20508.6,0,0,NA,"Click To Continue","Continue Button",2,"object-3","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"6",1730468853023,"01/11/2024 13:47:33",1730468853023,0,"01/11/2024 13:47:33",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 2","x2kpu8",2,"continue","",14662.5999999285,14653.9,14662.5999999285,14662.5999999285,14653.9,14662.5999999285,1,14662.5999999285,0,0,NA,"Click To Continue","Continue Button",2,"object-22021","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"7",1730468868836,"01/11/2024 13:47:48",1730468868836,0,"01/11/2024 13:47:48",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 3","o6zm7t",3,"continue","",15821.2999999523,15817.8,15821.2999999523,15821.2999999523,15817.8,15821.2999999523,1,15821.2999999523,0,0,NA,"Click To Continue","Continue Button",2,"object-225","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"8",1730468873371,"01/11/2024 13:47:53",1730468873371,0,"01/11/2024 13:47:53",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 4","3hq7c2",4,"continue","",4538.80000002384,4524.3,4538.80000002384,4538.80000002384,4524.3,4538.80000002384,1,4538.80000002384,0,0,NA,"Click To Continue","Continue Button",4,"object-380","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"9",1730468887710,"01/11/2024 13:48:07",1730468887710,0,"01/11/2024 13:48:07",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 5","5jisqh",5,"continue","",14353.9,14337.7,14353.9,14353.9,14337.7,14353.9,1,14353.9,0,0,NA,"Click To Continue","Continue Button",2,"object-233","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
"10",1730468891580,"01/11/2024 13:48:11",1730468891580,0,"01/11/2024 13:48:11",193496,6,"task-nz4r",NA,41048921,11986016,NA,"complete",NA,"6724cd42a22f88c072cebf93","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1280x720","1280x720",NA,NA,0,"Gambling_GBO",15,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq4","Gamble_Rand_Seq4","Gamble_Rand_Seq4",1,"Instructions","Screen 6","13xe5l",6,"continue","",3886.2,3875.59999999999,3886.2,3886.2,3875.59999999999,3886.2,1,3886.2,0,0,NA,"Click To Continue","Continue Button",2,"object-237","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF56321"
