"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand_M","Spreadsheet..Answer","Spreadsheet..C_points","Spreadsheet..L_points","Spreadsheet..W_points","Spreadsheet..rand_G","Manipulation..Spreadsheet","Store..Choice","Store..total","Store..total_score","Store..pounds","Store..total_money","Store..partA","Store..MoneyReward","Store..pointsPR","Random_ID"
"1",1730467124663,"01/11/2024 13:18:44",1730467124663,0,"01/11/2024 13:18:44",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",NA,"","","",NA,"info","START SUBSYSTEM base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"2",1730467124683,"01/11/2024 13:18:44",1730467124683,0,"01/11/2024 13:18:44",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",NA,"","","",NA,"info","SUBSYSTEM READY base.component.fullscreenSubsystem",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"3",1730467124746,"01/11/2024 13:18:44",1730467124746,0,"01/11/2024 13:18:44",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",NA,"","","",NA,"info","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"4",1730467188764,"01/11/2024 13:19:48",1730467188764,0,"01/11/2024 13:19:48",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Intro","Screen 1","u1aumm",1,"continue","",64113.0999999821,64104.5,64113.0999999821,64113.0999999821,64104.5,64113.0999999821,1,64113.0999999821,0,0,NA,"Click To Continue","Continue Button",2,"object-37171","Intro","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"5",1730467194029,"01/11/2024 13:19:54",1730467194029,0,"01/11/2024 13:19:54",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 1","rfymdc",1,"continue","",5274.59999998212,5267,5274.59999998212,5274.59999998212,5267,5274.59999998212,1,5274.59999998212,0,0,NA,"Click To Continue","Continue Button",2,"object-3","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"6",1730467196828,"01/11/2024 13:19:56",1730467196828,0,"01/11/2024 13:19:56",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 2","x2kpu8",2,"continue","",2806.89999999404,2799,2806.89999999404,2806.89999999404,2799,2806.89999999404,1,2806.89999999404,0,0,NA,"Click To Continue","Continue Button",2,"object-22021","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"7",1730467237884,"01/11/2024 13:20:37",1730467237884,0,"01/11/2024 13:20:37",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 3","o6zm7t",3,"continue","",41062.4999999881,41053.8,41062.4999999881,41062.4999999881,41053.8,41062.4999999881,1,41062.4999999881,0,0,NA,"Click To Continue","Continue Button",2,"object-225","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"8",1730467241579,"01/11/2024 13:20:41",1730467241579,0,"01/11/2024 13:20:41",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 4","3hq7c2",4,"response","back",3699.69999999998,3683.39999999999,3699.69999999998,3699.69999999998,3683.39999999999,3699.69999999998,1,3699.69999999998,0,0,NA,"Click Response","Back Button",2,"object-229","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"9",1730467243935,"01/11/2024 13:20:43",1730467243935,0,"01/11/2024 13:20:43",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 3","o6zm7t",5,"continue","",2376.29999998808,2367.20000000001,2376.29999998808,2376.29999998808,2367.20000000001,2376.29999998808,1,2376.29999998808,0,0,NA,"Click To Continue","Continue Button",2,"object-225","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
"10",1730467246635,"01/11/2024 13:20:46",1730467246635,0,"01/11/2024 13:20:46",193496,6,"task-napx",NA,41048034,11986013,NA,"complete",NA,"6724cd3c613e6534e0c95a7e","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Gambling_GBO",15,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq3","Gamble_Rand_Seq3","Gamble_Rand_Seq3",1,"Instructions","Screen 4","3hq7c2",6,"continue","",2708.39999999999,2700.09999999999,2708.39999999999,2708.39999999999,2700.09999999999,2708.39999999999,1,2708.39999999999,0,0,NA,"Click To Continue","Continue Button",4,"object-380","Instructions","","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"MDPRF05688"
