participant,session,completion,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,TopAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran,rating_alt_2.response,rating_alt_2.rt,AltC2.thisRepN,AltC2.thisTrialN,AltC2.thisN,AltC2.thisIndex,AltC2.ran,BottomAlt_Choice,rndRat4.thisRepN,rndRat4.thisTrialN,rndRat4.thisN,rndRat4.thisIndex,rndRat4.ran,rndRat5.thisRepN,rndRat5.thisTrialN,rndRat5.thisN,rndRat5.thisIndex,rndRat5.ran,trials_FC_L.thisRepN,trials_FC_L.thisTrialN,trials_FC_L.thisN,trials_FC_L.thisIndex,trials_FC_L.ran
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,-85.9450727,5.6757,2.0601,0,0,0,1,1,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,76.57512116,3.7178,2.0274,0,1,1,0,1,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,-52.66558966,3.7283,2.0215,0,2,2,2,1,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUPAMT89542,3I33IC7ZWL1HGUVFPMXLYTX80AV2A4,E633E90A-B0B7-418D-BE82-73E738B725DB,2023-09-27_12h38.07.523,WP_VExplicitOC_HL,2022.2.5,Win32,16.11291934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
